Date;Open;High;Low;Close;Volume;Adj Close;;;;;;;;
20.03.2012;21183.04;21183.04;20786.69;20888.24;1707925200;20888.24;;;;;;;;
19.03.2012;21454.01;21454.01;21075.38;21115.29;1350633000;21115.29;;;;;;;;
16.03.2012;21350.25;21438.62;21253.39;21317.85;1537009700;21317.85;;;;;;;;
15.03.2012;21323.06;21368.48;21162.17;21353.53;1320818700;21353.53;;;;;;;;
14.03.2012;21564.21;21638.32;21263.02;21307.89;1924523200;21307.89;;;;;;;;
13.03.2012;21279.41;21427.12;21261.32;21339.70;1360783500;21339.70;;;;;;;;
12.03.2012;21073.59;21170.55;20924.36;21134.18;1130190800;21134.18;;;;;;;;
09.03.2012;20930.93;21209.79;20917.68;21086.00;1399879900;21086.00;;;;;;;;
08.03.2012;20722.95;20909.71;20681.09;20900.73;1592319800;20900.73;;;;;;;;
07.03.2012;20521.96;20732.87;20521.96;20627.78;2211849600;20627.78;;;;;;;;
06.03.2012;21173.74;21173.74;20789.36;20806.25;3940575200;20806.25;;;;;;;;
05.03.2012;21518.03;21578.76;21230.61;21265.31;1255361600;21265.31;;;;;;;;
02.03.2012;21618.15;21623.24;21531.93;21562.26;1592404700;21562.26;;;;;;;;
01.03.2012;21578.19;21641.14;21338.29;21387.96;1377724000;21387.96;;;;;;;;
29.02.2012;21643.85;21716.76;21525.91;21680.08;1557394100;21680.08;;;;;;;;
28.02.2012;21303.39;21583.07;21273.99;21568.73;1614442400;21568.73;;;;;;;;
27.02.2012;21381.66;21589.02;21076.52;21217.86;1610982000;21217.86;;;;;;;;
24.02.2012;21438.97;21468.93;21292.40;21406.86;1386342400;21406.86;;;;;;;;
23.02.2012;21356.53;21428.50;21325.56;21380.99;1125571200;21380.99;;;;;;;;
22.02.2012;21339.02;21569.74;21302.19;21549.28;1377263800;21549.28;;;;;;;;
21.02.2012;21434.31;21480.34;21221.39;21478.72;1547155900;21478.72;;;;;;;;
20.02.2012;21760.34;21760.34;21393.48;21424.79;1855260400;21424.79;;;;;;;;
17.02.2012;21503.59;21546.73;21381.69;21491.62;1590262700;21491.62;;;;;;;;
16.02.2012;21266.51;21317.72;21157.55;21277.28;1548013700;21277.28;;;;;;;;
15.02.2012;20993.58;21403.28;20933.39;21365.23;2038762000;21365.23;;;;;;;;
14.02.2012;20845.24;20947.95;20813.53;20917.83;1174512100;20917.83;;;;;;;;
13.02.2012;20718.80;20969.80;20673.96;20887.40;1515547500;20887.40;;;;;;;;
10.02.2012;20986.25;21002.33;20703.79;20783.86;1997876600;20783.86;;;;;;;;
09.02.2012;20922.29;21053.06;20787.84;21010.01;2208070800;21010.01;;;;;;;;
08.02.2012;20827.89;21023.33;20755.73;21018.46;1739168600;21018.46;;;;;;;;
07.02.2012;20808.05;20881.85;20649.27;20699.19;1519257700;20699.19;;;;;;;;
06.02.2012;21015.55;21015.55;20633.13;20709.94;1900864400;20709.94;;;;;;;;
03.02.2012;20680.71;20796.74;20639.49;20756.98;1663273500;20756.98;;;;;;;;
02.02.2012;20638.96;20761.70;20564.97;20739.45;2100068000;20739.45;;;;;;;;
01.02.2012;20394.67;20534.22;20269.51;20333.37;1499488400;20333.37;;;;;;;;
31.01.2012;20326.49;20465.89;20219.27;20390.49;2386779600;20390.49;;;;;;;;
30.01.2012;20518.00;20518.00;20144.95;20160.41;2136671200;20160.41;;;;;;;;
27.01.2012;20443.46;20590.80;20384.05;20501.67;1809725000;20501.67;;;;;;;;
26.01.2012;20453.47;20453.47;20301.59;20439.14;2041611000;20439.14;;;;;;;;
25.01.2012;0;0;0;20274.76;0;0;;;;;;;;
24.01.2012;0;0;0;20274.76;0;0;;;;;;;;
23.01.2012;20110.37;20110.37;20110.37;20110.37;0;20110.37;;;;;;;;
20.01.2012;20161.72;20161.72;19927.88;20110.37;1966388400;20110.37;;;;;;;;
19.01.2012;19842.46;19956.54;19776.32;19942.95;2497477200;19942.95;;;;;;;;
18.01.2012;19651.59;19726.84;19577.07;19686.92;1947200800;19686.92;;;;;;;;
17.01.2012;19185.85;19640.28;19173.29;19627.75;2590203600;19627.75;;;;;;;;
